Course Title,Rating,Provider,Level,Reviews,Type,Duration
Introduction to Social Media Marketing,4.8,Meta,Beginner,14000.0,Course,1 - 3 Months
 IT Security: Defense against the digital dark arts ,4.8,Google,Beginner,23000.0,Course,1 - 3 Months
"JavaScript Programming with React, Node & MongoDB",4.4,IBM,Beginner,895.0,Specialization,3 - 6 Months
Introduction to Generative AI ,4.7,Google Cloud,Beginner,5100.0,Course,1 - 4 Weeks
Foundations of Data Science,4.7,Google,Advanced,2200.0,Course,1 - 3 Months
Leading People and Teams,4.7,University of Michigan,Beginner,11000.0,Specialization,3 - 6 Months
Medical Terminology,4.9,Rice University,Beginner,597.0,Specialization,3 - 6 Months
Six Sigma Yellow Belt,4.6,Kennesaw State University,Beginner,9300.0,Specialization,3 - 6 Months
"Brand Management: Aligning Business, Brand and Behaviour",4.9,University of London,Beginner,7200.0,Course,1 - 3 Months
Financial Analysis - Skills for Success,4.7,University of Illinois Urbana-Champaign,Beginner,301.0,Specialization,1 - 3 Months
CompTIA a+ Cyber,4.5,CompTIA,Beginner,45.0,Course,1 - 3 Months
TensorFlow: Advanced Techniques,4.8,DeepLearning.AI,Intermediate,1500.0,Specialization,3 - 6 Months
Game Theory,4.6,Stanford University,Beginner,4600.0,Course,1 - 3 Months
Fundamentals of Quantitative Modeling,4.6,University of Pennsylvania,Mixed,8900.0,Course,1 - 4 Weeks
AI Fundamentals for Non-Data Scientists,4.8,University of Pennsylvania,Mixed,440.0,Course,1 - 3 Months
AI Product Management,4.7,Duke University,Beginner,593.0,Specialization,3 - 6 Months
Project Management,4.7,University of Colorado Boulder,Beginner,795.0,Specialization,1 - 3 Months
ADP Entry-Level Payroll Specialist,4.7,"Automatic Data Processing, Inc. (ADP)",Beginner,55.0,Professional Certificate,3 - 6 Months
Put It to Work: Prepare for Cybersecurity Jobs,4.8,Google,Beginner,3000.0,Course,1 - 3 Months
Data Science: Foundations using R,4.6,Johns Hopkins University,Beginner,48000.0,Specialization,3 - 6 Months
Mathematics for Machine Learning,4.6,Imperial College London,Beginner,14000.0,Specialization,3 - 6 Months
Cybersecurity for Everyone,4.7,"University of Maryland, College Park",Beginner,1900.0,Course,1 - 3 Months
Modern and Contemporary Art and Design,4.8,The Museum of Modern Art,Beginner,14000.0,Specialization,3 - 6 Months
Strategic Leadership and Management,4.8,University of Illinois Urbana-Champaign,Beginner,9200.0,Specialization,3 - 6 Months
